date,EURUSD,GBPUSD,NZDUSD,CADUSD,AUDUSD
2020-11-16,1.18536,1.32016,0.69046,0.7649,0.73194
2020-11-17,1.18608,1.32482,0.68919,0.76299,0.73003
2020-11-18,1.1853,1.32691,0.6926,0.76437,0.73045
2020-11-19,1.18749,1.32613,0.69176,0.76492,0.72834
2020-11-20,1.18572,1.32758,0.69294,0.76362,0.73031
2020-11-23,1.18409,1.33226,0.69235,0.76425,0.72867
2020-11-24,1.18919,1.33622,0.69778,0.76935,0.73604
2020-11-25,1.19151,1.33851,0.70062,0.76883,0.73637
2020-11-26,1.19138,1.33578,0.70056,0.76824,0.73633
2020-11-27,1.19638,1.33123,0.7027,0.76986,0.73877
2020-11-30,1.19269,1.3325,0.70161,0.76876,0.7344
2020-12-01,1.20704,1.3419,0.70632,0.77302,0.73713
2020-12-02,1.21157,1.33659,0.70692,0.77413,0.74158
2020-12-03,1.21472,1.3453,0.70757,0.77747,0.74398
2020-12-04,1.21224,1.34406,0.70423,0.78218,0.74267
2020-12-07,1.21091,1.33838,0.70424,0.78139,0.74212
2020-12-08,1.21037,1.33557,0.70434,0.78004,0.74098
2020-12-09,1.20812,1.3404,0.70222,0.78014,0.74433
2020-12-10,1.2139,1.32972,0.70969,0.78497,0.75354
2020-12-11,1.21118,1.32211,0.70844,0.78262,0.75379
2020-12-14,1.21438,1.33317,0.7082,0.78348,0.75351
2020-12-15,1.21507,1.34621,0.70884,0.7875,0.75595
2020-12-16,1.21999,1.35097,0.71118,0.78485,0.75763
2020-12-17,1.22705,1.35864,0.71505,0.78615,0.76246
2020-12-18,1.22588,1.35207,0.71329,0.78192,0.76222
2020-12-21,1.22447,1.34667,0.71014,0.77778,0.75853
2020-12-22,1.21632,1.33618,0.70411,0.7747,0.75223
2020-12-23,1.21876,1.34974,0.70973,0.77845,0.75758
2020-12-24,1.21847,1.35625,0.7102,0.77745,0.75981
2020-12-25,1.21933,1.35662,0.71161,0.77742,0.76057
2020-12-28,1.22154,1.34548,0.71033,0.77821,0.75791
2020-12-29,1.22497,1.3501,0.71479,0.78005,0.76079
2020-12-30,1.22977,1.36249,0.72036,0.78411,0.7685
2020-12-31,1.22155,1.36648,0.71851,0.78554,0.76941
2021-01-01,1.22137,1.36641,0.72111,0.78542,0.77135
2021-01-04,1.22499,1.35708,0.71757,0.78269,0.76643
2021-01-05,1.22982,1.36265,0.72509,0.7893,0.77586
2021-01-06,1.23265,1.36091,0.72938,0.78886,0.78032
2021-01-07,1.22701,1.35658,0.72561,0.78795,0.77684
2021-01-08,1.22173,1.35665,0.72356,0.78739,0.77639
2021-01-11,1.21509,1.35152,0.71631,0.78221,0.76968
2021-01-12,1.22073,1.36643,0.72185,0.78671,0.77728
2021-01-13,1.21581,1.36396,0.71791,0.78752,0.77341
2021-01-14,1.2157,1.36898,0.72201,0.79099,0.77787
2021-01-15,1.20813,1.35834,0.71344,0.7853,0.77031
2021-01-18,1.20773,1.35862,0.71124,0.78392,0.76815
2021-01-19,1.21284,1.36313,0.71196,0.78528,0.76954
2021-01-20,1.21062,1.3655,0.71715,0.79144,0.77463
2021-01-21,1.21652,1.37325,0.72172,0.79117,0.77636
2021-01-22,1.21687,1.36846,0.71809,0.78552,0.7714
2021-01-25,1.21382,1.36755,0.72005,0.78499,0.7713
2021-01-26,1.21599,1.37353,0.72364,0.78775,0.77469
2021-01-27,1.21123,1.36895,0.71586,0.78103,0.76638
2021-01-28,1.21219,1.37205,0.71716,0.77939,0.76788
2021-01-29,1.21374,1.37014,0.71822,0.78271,0.76452
2021-02-01,1.20604,1.36629,0.7158,0.778,0.76215
2021-02-02,1.20432,1.36676,0.71918,0.78241,0.76074
2021-02-03,1.20358,1.36433,0.72089,0.78206,0.76188
2021-02-04,1.19616,1.36704,0.71575,0.77966,0.75997
2021-02-05,1.20472,1.37337,0.7196,0.78395,0.76785
2021-02-08,1.20512,1.37398,0.72214,0.78506,0.77034
2021-02-09,1.21184,1.38163,0.72416,0.78783,0.77387
2021-02-10,1.21188,1.38331,0.72153,0.78732,0.7721
2021-02-11,1.21312,1.38177,0.72275,0.78716,0.77542
